symbol,token
Nifty 200,99926033
Nifty Div Opps 50,99926034
Nifty Commodities,99926035
Nifty Consumption,99926036
Nifty Fin Service,99926037
Nifty50 Div Point,99926038
Nifty Metal,99926030
Nifty Media,99926031
NIFTY SMLCAP 100,99926032
Nifty50 TR 2x Lev,99926043
Nifty50 TR 1x Inv,99926044
Nifty50 Value 20,99926045
Nifty Mid Liq 15,99926046
Nifty Pvt Bank,99926047
NIFTY100 Qualty30,99926048
Nifty GS 8 13Yr,99926049
Nifty100 Liq 15,99926040
Nifty CPSE,99926041
Nifty50 PR 1x Inv,99926042
Nifty GS 11 15Yr,99926053
Nifty GS 15YrPlus,99926054
Nifty GS Compsite,99926055
NIFTY50 EQL Wgt,99926056
NIFTY100 EQL Wgt,99926057
NIFTY100 LowVol30,99926058
NIFTY Alpha 50,99926059
Nifty GS 10Yr,99926050
Nifty GS 10Yr Cln,99926051
Nifty GS 4 8Yr,99926052
NIFTY MIDSML 400,99926063
NIFTY200 QUALTY30,99926064
NIFTY MIDCAP 150,99926060
NIFTY SMLCAP 50,99926061
NIFTY SMLCAP 250,99926062
NIFTY MID SELECT,99926074
Nifty 500,99926004
Nifty IT,99926008
Nifty Bank,99926009
Nifty 50,99926000
Nifty GrowSect 15,99926001
Nifty50 PR 2x Lev,99926002
Nifty Next 50,99926013
Nifty Midcap 50,99926014
HangSeng BeES-NAV,99926016
India VIX,99926017
Nifty Realty,99926018
Nifty Infra,99926019
NIFTY MIDCAP 100,99926011
Nifty 100,99926012
Nifty Pharma,99926023
Nifty PSE,99926024
Nifty PSU Bank,99926025
Nifty Serv Sector,99926026
Nifty Auto,99926029
Nifty Energy,99926020
Nifty FMCG,99926021
Nifty MNC,99926022
ARE&M-EQ,100
679PN35-SG,1007
FACT-EQ,1008
68TS50-SG,1018
795AP39-SG,10215
FEDERALBNK-EQ,1023
792TS45-SG,10272
RADHIKAJWE-EQ,10343
KCK-SM,10293
795TS35-SG,10382
779AP31-SG,10458
STEELCITY-EQ,10406
ARVSMART-EQ,10457
804AP37-SG,10471
797RJ42-SG,10480
RAMRAT-EQ,10485
POWERMECH-EQ,10473
784TS36-SG,10545
765BR32-SG,10529
761GJ32-SG,10531
765RJ32-SG,10543
MNC-EQ,10676
743HP28-SG,10559
KRBL-EQ,10577
MOMENTUM-EQ,10693
FOSECOIND-EQ,1073
SYRMA-EQ,10793
HDFCSILVER-EQ,10876
661RJ30-SG,1083
DBOL-BE,10895
SFMP64GD-MF,10881
746TS49-SG,10965
75HP37-SG,10961
684MZ34-SG,1090
746MP32-SG,10957
INFOBEAN-EQ,11027
MARUTI-EQ,10999
SABAR-ST,10985
MEGAFLEX-SM,10971
DANGEE-BE,1116
SATIA-EQ,11045
769BR32-SG,11282
771MN32-SG,11286
JAIBALAJI-EQ,11256
VARDHACRLC-EQ,11220
847SCL25-Z2,11337
